trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.414297691823144,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.993}",20,0,-109.14345070251021,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.986049}",25,0,-134.63918406958754,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.979146657}",20,7,-4.041085892197673,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.972292630401}",35,0,-144.1470272336186,"{0: 25, 1: 4, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9654865819881929}",20,0,-20.239058451456255,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9587281759142756}",20,0,-152.48060161433128,"{0: 9, 1: 0, 2: 8, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9520170786828757}",20,0,-50.90084542924718,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9453529591320955}",20,0,-11.733893796591587,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9387354884181709}",30,0,-192.99712451048788,"{0: 14, 1: 6, 2: 6, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9321643399992436}",20,0,-170.29752982252938,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.925639189619249}",35,0,-201.8621009078087,"{0: 21, 1: 5, 2: 3, 3: 3, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9191597152919142}",25,0,-29.130591095481236,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
