trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
230,False,"{'a': 0.05, 'e': 0.10010587426148955}",20,9,16.760081670779797,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.05, 'e': 0.09910481551887466}",20,10,-14.34652365386436,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
232,False,"{'a': 0.05, 'e': 0.0981137673636859}",20,12,16.31783513067773,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.05, 'e': 0.09713262969004904}",20,16,6.826767329923913,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.05, 'e': 0.09616130339314856}",20,0,27.623341995488822,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
235,False,"{'a': 0.05, 'e': 0.09519969035921708}",20,12,15.90181482051546,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.05, 'e': 0.0942476934556249}",25,0,32.20212364332715,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
237,False,"{'a': 0.05, 'e': 0.09330521652106866}",20,14,10.452305683528612,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.05, 'e': 0.09237216435585796}",20,10,21.11930730830195,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.05, 'e': 0.09144844271229938}",30,10,31.77012487551235,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.05, 'e': 0.0905339582851764}",35,19,29.72289513561135,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.05, 'e': 0.08962861870232462}",20,11,15.275931074397853,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.05, 'e': 0.08873233251530138}",30,8,25.608579550353078,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
243,False,"{'a': 0.05, 'e': 0.08784500919014836}",25,13,13.922825754174028,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
244,False,"{'a': 0.05, 'e': 0.08696655909824688}",25,9,-14.23403007715369,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
245,False,"{'a': 0.05, 'e': 0.0860968935072644}",20,14,10.422462318851503,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.05, 'e': 0.08523592457219176}",20,6,26.429422044907824,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.05, 'e': 0.08438356532646984}",30,24,10.933332728328143,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.05, 'e': 0.08353972967320515}",25,11,-13.883159928859543,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
249,False,"{'a': 0.05, 'e': 0.0827043323764731}",30,1,7.600993775714981,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 0}",1
250,False,"{'a': 0.05, 'e': 0.08187728905270836}",20,16,7.131777158400788,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.05, 'e': 0.08105851616218128}",30,14,-39.90934885262728,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
252,False,"{'a': 0.05, 'e': 0.08024793100055946}",30,19,17.56202158622827,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.05, 'e': 0.07944545169055386}",30,5,31.297104099236105,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.05, 'e': 0.07865099717364833}",20,13,13.21500500538071,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.05, 'e': 0.07786448720191184}",30,0,10.280521837059792,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",1
256,False,"{'a': 0.05, 'e': 0.07708584232989273}",30,19,22.53970791969405,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.05, 'e': 0.0763149839065938}",25,11,-16.035421218883965,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
258,False,"{'a': 0.05, 'e': 0.07555183406752786}",25,14,21.60971201420163,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.05, 'e': 0.07479631572685258}",25,0,27.843134954791353,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
260,False,"{'a': 0.05, 'e': 0.07404835256958406}",30,17,24.247489942703066,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.05, 'e': 0.07330786904388821}",25,0,38.85456820951729,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
262,False,"{'a': 0.05, 'e': 0.07257479035344933}",25,8,30.498439414066212,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.05, 'e': 0.07184904244991483}",20,6,24.424443876140256,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.05, 'e': 0.07113055202541568}",20,0,35.82812970345423,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
265,False,"{'a': 0.05, 'e': 0.07041924650516153}",25,6,29.73179775871191,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.05, 'e': 0.06971505404010991}",20,11,16.45871262603418,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.05, 'e': 0.06901790349970881}",20,12,15.075690016687904,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.05, 'e': 0.06832772446471172}",30,22,17.13788721851442,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.05, 'e': 0.0676444472200646}",20,15,12.762025634598793,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.05, 'e': 0.06696800274786396}",25,20,9.379229174770682,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.05, 'e': 0.06629832272038531}",25,8,14.3596933082342,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
272,False,"{'a': 0.05, 'e': 0.06563533949318147}",25,19,13.897101452913386,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.05, 'e': 0.06497898609824965}",35,9,25.220161439397824,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 0}",1
274,False,"{'a': 0.05, 'e': 0.06432919623726716}",20,8,21.770883823558137,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.05, 'e': 0.06368590427489448}",30,17,17.040371735213437,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.05, 'e': 0.06304904523214554}",35,6,51.471901180232,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
