trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.6, 'e': 0.7445064023594222}",20,5,-66.19990669685413,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1
44,False,"{'a': 0.6, 'e': 0.7392948575429062}",25,0,-76.10197386932755,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.6, 'e': 0.7341197935401059}",20,0,-168.9359630366042,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
46,False,"{'a': 0.6, 'e': 0.7289809549853252}",30,0,-177.89679168398177,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
47,False,"{'a': 0.6, 'e': 0.7238780883004279}",30,23,-28.654660340773425,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.6, 'e': 0.718810941682325}",20,0,-84.44181064794505,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.6, 'e': 0.7137792650905487}",20,0,-41.2796102176861,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
50,False,"{'a': 0.6, 'e': 0.7087828102349149}",20,0,-108.72677573092702,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
51,False,"{'a': 0.6, 'e': 0.7038213305632703}",25,7,-33.33586675693417,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 0.6, 'e': 0.6988945812493275}",20,0,-95.31699976005795,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
53,False,"{'a': 0.6, 'e': 0.6940023191805822}",20,0,-69.95198970987639,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
54,False,"{'a': 0.6, 'e': 0.6891443029463181}",25,9,-55.483730959807865,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
55,False,"{'a': 0.6, 'e': 0.6843202928256938}",20,0,-3.7732611558375346,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
56,False,"{'a': 0.6, 'e': 0.679530050775914}",25,0,-136.82619375624273,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
57,False,"{'a': 0.6, 'e': 0.6747733404204826}",20,0,-41.799341694448266,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
58,False,"{'a': 0.6, 'e': 0.6700499270375393}",20,3,-96.37837709909041,"{0: 8, 1: 2, 2: 6, 3: 0, 4: 1}",1
59,False,"{'a': 0.6, 'e': 0.6653595775482765}",25,0,-178.90016145632515,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
60,False,"{'a': 0.6, 'e': 0.6607020605054386}",20,6,-87.40558263680691,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
61,False,"{'a': 0.6, 'e': 0.6560771460819005}",25,0,-77.21894390325967,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
62,False,"{'a': 0.6, 'e': 0.6514846060593271}",20,6,-77.0639392642194,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 1}",1
63,False,"{'a': 0.6, 'e': 0.6469242138169119}",30,0,-140.26808485609678,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
64,False,"{'a': 0.6, 'e': 0.6423957443201934}",30,0,-128.08838226625102,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
65,False,"{'a': 0.6, 'e': 0.6378989741099521}",20,0,-4.514679173226683,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
66,False,"{'a': 0.6, 'e': 0.6334336812911824}",20,0,-50.585380020063944,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
67,False,"{'a': 0.6, 'e': 0.6289996455221442}",20,0,-86.3113089431079,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
68,False,"{'a': 0.6, 'e': 0.6245966480034891}",20,0,-83.71215390650245,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
69,False,"{'a': 0.6, 'e': 0.6202244714674647}",30,0,-111.53236986782592,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
70,False,"{'a': 0.6, 'e': 0.6158829001671925}",25,0,-92.01581862839473,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
71,False,"{'a': 0.6, 'e': 0.6115717198660221}",25,0,-58.12200092718526,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
72,False,"{'a': 0.6, 'e': 0.60729071782696}",25,0,-75.72581268549312,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
73,False,"{'a': 0.6, 'e': 0.6030396828021712}",25,19,-2.104597511318789,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.6, 'e': 0.598818405022556}",25,6,2.846752266138142,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.6, 'e': 0.5946266761873982}",20,5,-70.78200759354787,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 1}",1
76,False,"{'a': 0.6, 'e': 0.5904642894540864}",20,0,-12.321968263644221,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
77,False,"{'a': 0.6, 'e': 0.5863310394279078}",30,0,-83.15697913713,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
78,False,"{'a': 0.6, 'e': 0.5822267221519124}",20,0,-109.4604371600343,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
79,False,"{'a': 0.6, 'e': 0.578151135096849}",35,5,-112.39051349117463,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",1
80,False,"{'a': 0.6, 'e': 0.5741040771511711}",25,16,-14.66676292173619,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
81,False,"{'a': 0.6, 'e': 0.5700853486111128}",20,0,-18.06188702167025,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
82,False,"{'a': 0.6, 'e': 0.5660947511708351}",25,4,-27.237994567933125,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 0}",1
83,False,"{'a': 0.6, 'e': 0.5621320879126391}",25,0,-93.2548270178121,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
84,False,"{'a': 0.6, 'e': 0.5581971632972507}",25,0,-48.18801730785246,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
85,False,"{'a': 0.6, 'e': 0.55428978315417}",20,0,-76.00572323807019,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
86,False,"{'a': 0.6, 'e': 0.5504097546720907}",30,17,-62.09243678646216,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 1}",1
87,False,"{'a': 0.6, 'e': 0.5465568863893862}",25,0,-38.834834270796165,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
88,False,"{'a': 0.6, 'e': 0.5427309881846604}",25,0,-92.32408173648221,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
89,False,"{'a': 0.6, 'e': 0.5389318712673677}",35,20,-17.201680402934475,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
90,False,"{'a': 0.6, 'e': 0.5351593481684962}",25,6,-89.76373892576926,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 2}",1
91,False,"{'a': 0.6, 'e': 0.5314132327313167}",20,0,-34.59141091694771,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
92,False,"{'a': 0.6, 'e': 0.5276933401021975}",20,0,-53.596423161966555,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
93,False,"{'a': 0.6, 'e': 0.5239994867214821}",25,3,3.5748158037714743,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.6, 'e': 0.5203314903144317}",20,12,13.988673623413494,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.6, 'e': 0.5166891698822307}",25,0,-109.54049142062235,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
96,False,"{'a': 0.6, 'e': 0.5130723456930552}",20,14,-31.239963663051803,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.6, 'e': 0.5094808392732038}",20,0,-35.81588626394505,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
98,False,"{'a': 0.6, 'e': 0.5059144733982913}",25,5,-21.410531274003105,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
99,False,"{'a': 0.6, 'e': 0.5023730720845032}",20,5,-11.743109688383186,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
100,False,"{'a': 0.6, 'e': 0.49885646057991173}",25,0,1.9072013933358394,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
101,False,"{'a': 0.6, 'e': 0.4953644653558523}",20,13,-31.270301587414142,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
102,False,"{'a': 0.6, 'e': 0.49189691409836134}",20,16,6.510150490627995,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.6, 'e': 0.4884536356996728}",20,10,-18.613748863014397,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
104,False,"{'a': 0.6, 'e': 0.48503446024977515}",35,3,-145.06045113084835,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 3}",1
105,False,"{'a': 0.6, 'e': 0.4816392190280267}",25,0,-86.7481559233189,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
106,False,"{'a': 0.6, 'e': 0.4782677444948305}",25,0,-39.079800463295314,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
107,False,"{'a': 0.6, 'e': 0.4749198702833667}",25,0,-33.061874635214984,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
108,False,"{'a': 0.6, 'e': 0.47159543119138314}",25,4,-44.35467590099463,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 1}",1
109,False,"{'a': 0.6, 'e': 0.46829426317304346}",30,8,-32.156550164212064,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 0}",1
110,False,"{'a': 0.6, 'e': 0.4650162033308321}",25,0,15.402335795086387,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.6, 'e': 0.4617610899075163}",20,0,5.108430981668424,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
112,False,"{'a': 0.6, 'e': 0.4585287622781637}",30,8,2.052824655990981,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
113,False,"{'a': 0.6, 'e': 0.4553190609422165}",20,4,2.3298599804207436,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.6, 'e': 0.45213182751562103}",30,14,-58.00936291164732,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 0}",1
115,False,"{'a': 0.6, 'e': 0.44896690472301165}",20,0,-63.3493378167767,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
116,False,"{'a': 0.6, 'e': 0.44582413638995055}",20,9,11.33481789081311,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.6, 'e': 0.44270336743522093}",25,7,-65.13682539138713,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
