trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 1.0}",30,0,-228.89871928329632,"{0: 14, 1: 6, 2: 5, 3: 2, 4: 3}",0
2,False,"{'a': 0.3, 'e': 0.993}",20,4,-82.43127375339313,"{0: 8, 1: 4, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.3, 'e': 0.986049}",20,0,-71.1759906858806,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.3, 'e': 0.979146657}",25,0,-30.286129916339767,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.3, 'e': 0.972292630401}",30,0,-49.21110260239886,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.3, 'e': 0.9654865819881929}",25,0,-148.0847095681012,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.3, 'e': 0.9587281759142756}",30,0,-53.54548176215959,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.9520170786828757}",25,4,-14.55522520738143,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 0}",1
9,False,"{'a': 0.3, 'e': 0.9453529591320955}",30,0,-154.01907261663644,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.3, 'e': 0.9387354884181709}",20,6,-100.9213845934146,"{0: 7, 1: 2, 2: 2, 3: 2, 4: 1}",1
11,False,"{'a': 0.3, 'e': 0.9321643399992436}",25,0,-64.43939702342449,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.925639189619249}",25,0,-134.23918844098083,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.9191597152919142}",30,0,-73.81913632897086,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.3, 'e': 0.9127255972848708}",20,15,2.6538345604012106,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.3, 'e': 0.9063365181038767}",30,1,-49.6364781373,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 0}",1
16,False,"{'a': 0.3, 'e': 0.8999921624771495}",30,0,-266.11212052562934,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 5}",0
17,False,"{'a': 0.3, 'e': 0.8936922173398095}",25,0,-69.38556624134578,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.3, 'e': 0.8874363718184308}",30,7,-116.81778175945767,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 1}",1
19,False,"{'a': 0.3, 'e': 0.8812243172157018}",20,10,-7.225569845843237,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.3, 'e': 0.8750557469951918}",25,0,-182.75402512645408,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
